Line Code,Direction,Stop Code,Stop ID,Chinese Name,English Name,Sequence
615,1,TSS,40,青山村,Tsing Shan Tsuen,6
615,1,TWN,50,青雲,Tsing Wun,7
615,1,MIK,200,鳴琴,Ming Kum,8
615,1,SHP,170,石排,Shek Pai,9
615,1,SAW,160,新圍,San Wai,10
615,1,LEK,150,良景,Leung King,11
615,1,TNK,140,田景,Tin King,12
615,1,KIS,130,建生,Kin Sang,13
615,1,CHC,120,青松,Ching Chung,14
615,1,SHL,100,兆康,Siu Hong,15
615,1,LTE,350,藍地,Lam Tei,16
615,1,NAW,360,泥圍,Nai Wai,17
615,1,CUT,370,鍾屋村,Chung Uk Tsuen,18
615,1,HSK,380,洪水橋,Hung Shui Kiu,19
615,1,TOF,390,塘坊村,Tong Fong Tsuen,20
615,1,PIS,400,屏山,Ping Shan,21
615,1,SPW,560,水邊圍,Shui Pin Wai,22
615,1,FNR,570,豐年路,Fung Nin Road,23
615,1,HLR,580,康樂路,Hong Lok Road,24
615,1,TTR,590,大棠路,Tai Tong Road,25
615,1,YLL,600,元朗,Yuen Long,26
615,2,YLL,600,元朗,Yuen Long,1
615,2,TTR,590,大棠路,Tai Tong Road,2
615,2,HLR,580,康樂路,Hong Lok Road,3
615,2,FNR,570,豐年路,Fung Nin Road,4
615,2,SPW,560,水邊圍,Shui Pin Wai,5
615,2,PIS,400,屏山,Ping Shan,6
615,2,TOF,390,塘坊村,Tong Fong Tsuen,7
615,2,HSK,380,洪水橋,Hung Shui Kiu,8
615,2,CUT,370,鍾屋村,Chung Uk Tsuen,9
615,2,NAW,360,泥圍,Nai Wai,10
615,2,LTE,350,藍地,Lam Tei,11
615,2,SHL,100,兆康,Siu Hong,12
615,2,CHC,120,青松,Ching Chung,13
615,2,KIS,130,建生,Kin Sang,14
615,2,TNK,140,田景,Tin King,15
615,2,LEK,150,良景,Leung King,16
615,2,SAW,160,新圍,San Wai,17
615,2,SHP,170,石排,Shek Pai,18
615,2,MIK,200,鳴琴,Ming Kum,19
615,2,TWN,50,青雲,Tsing Wun,20
615,2,TSS,40,青山村,Tsing Shan Tsuen,21
615,2,LUM,30,龍門,Lung Mun,22
615,2,LRD,20,輕鐵車廠,Light Rail Depot,23
615,2,BUT,15,蝴蝶,Butterfly,24
615,2,MEG,10,美樂,Melody Garden,25
615,2,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,26
705,1,TSL,430,天水圍,Tin Shui Wai,1
705,1,TIT,435,天慈,Tin Tsz,2
705,1,TWU,450,天湖,Tin Wu,3
705,1,GIN,455,銀座,Ginza,4
705,1,TWI,500,天榮,Tin Wing,5
705,2,TWI,500,天榮,Tin Wing,1
705,2,TYU,510,天悅,Tin Yuet,2
705,2,TSA,520,天秀,Tin Sau,3
705,2,WEP,530,濕地公園,Wetland Park,4
705,2,THE,540,天恒,Tin Heng,5
705,2,TYA,550,天逸,Tin Yat,6
705,2,TFU,480,天富,Tin Fu,7
705,2,CHF,468,頌富,Chung Fu,8
705,2,TSU,460,天瑞,Tin Shui,9
705,2,LOC,448,樂湖,Locwood,10
705,2,TIY,445,天耀,Tin Yiu,11
705,2,TSL,430,天水圍,Tin Shui Wai,12
706,1,TSL,430,天水圍,Tin Shui Wai,1
706,1,TIY,445,天耀,Tin Yiu,2
706,1,LOC,448,樂湖,Locwood,3
706,1,TSU,460,天瑞,Tin Shui,4
706,1,CHF,468,頌富,Chung Fu,5
706,1,TFU,480,天富,Tin Fu,6
706,1,TYA,550,天逸,Tin Yat,7
706,1,THE,540,天恒,Tin Heng,8
706,1,WEP,530,濕地公園,Wetland Park,9
706,1,TSA,520,天秀,Tin Sau,10
706,1,TYU,510,天悅,Tin Yuet,11
706,1,TWI,500,天榮,Tin Wing,12
706,2,TWI,500,天榮,Tin Wing,1
706,2,GIN,455,銀座,Ginza,2
706,2,TWU,450,天湖,Tin Wu,3
706,2,TIT,435,天慈,Tin Tsz,4
706,2,TSL,430,天水圍,Tin Shui Wai,5
751,1,YAO,275,友愛,Yau Oi,1
751,1,ONT,270,安定,On Ting,2
751,1,TOC,280,市中心,Town Centre,3
751,1,TML,295,屯門,Tuen Mun,4
751,1,HOT,70,河田,Ho Tin,5
751,1,CYB,75,蔡意橋,Choy Yee Bridge,6
751,1,AFF,80,澤豐,Affluence,7
751,1,TMH,90,屯門醫院,Tuen Mun Hospital,8
751,1,SHL,100,兆康,Siu Hong,9
751,1,LTE,350,藍地,Lam Tei,10
751,1,NAW,360,泥圍,Nai Wai,11
751,1,CUT,370,鍾屋村,Chung Uk Tsuen,12
751,1,HSK,380,洪水橋,Hung Shui Kiu,13
751,1,HMT,425,坑尾村,Hang Mei Tsuen,14
751,1,TSL,430,天水圍,Tin Shui Wai,15
751,1,TIT,435,天慈,Tin Tsz,16
751,1,TWU,450,天湖,Tin Wu,17
751,1,GIN,455,銀座,Ginza,18
751,1,TWI,500,天榮,Tin Wing,19
751,1,CHE,490,翠湖,Chestwood,20
751,1,CHF,468,頌富,Chung Fu,21
751,1,TFU,480,天富,Tin Fu,22
751,1,TYA,550,天逸,Tin Yat,23
751,1,TYA,550,天逸,Tin Yat,24
751,2,TYA,550,天逸,Tin Yat,1
751,2,TFU,480,天富,Tin Fu,2
751,2,CHF,468,頌富,Chung Fu,3
751,2,CHE,490,翠湖,Chestwood,4
751,2,TWI,500,天榮,Tin Wing,5
751,2,GIN,455,銀座,Ginza,6
751,2,TWU,450,天湖,Tin Wu,7
751,2,TIT,435,天慈,Tin Tsz,8
751,2,TSL,430,天水圍,Tin Shui Wai,9
751,2,HMT,425,坑尾村,Hang Mei Tsuen,10
751,2,HSK,380,洪水橋,Hung Shui Kiu,11
751,2,CUT,370,鍾屋村,Chung Uk Tsuen,12
751,2,NAW,360,泥圍,Nai Wai,13
751,2,LTE,350,藍地,Lam Tei,14
751,2,SHL,100,兆康,Siu Hong,15
751,2,TMH,90,屯門醫院,Tuen Mun Hospital,16
751,2,AFF,80,澤豐,Affluence,17
751,2,CYB,75,蔡意橋,Choy Yee Bridge,18
751,2,HOT,70,河田,Ho Tin,19
751,2,TML,295,屯門,Tuen Mun,20
751,2,TOC,280,市中心,Town Centre,21
751,2,YAO,275,友愛,Yau Oi,22
761P,1,TYA,550,天逸,Tin Yat,1
761P,1,TFU,480,天富,Tin Fu,2
761P,1,CHF,468,頌富,Chung Fu,3
761P,1,TSU,460,天瑞,Tin Shui,4
761P,1,LOC,448,樂湖,Locwood,5
761P,1,TIY,445,天耀,Tin Yiu,6
761P,1,HMT,425,坑尾村,Hang Mei Tsuen,7
761P,1,TOF,390,塘坊村,Tong Fong Tsuen,8
761P,1,PIS,400,屏山,Ping Shan,9
761P,1,SPW,560,水邊圍,Shui Pin Wai,10
761P,1,FNR,570,豐年路,Fung Nin Road,11
761P,1,HLR,580,康樂路,Hong Lok Road,12
761P,1,TTR,590,大棠路,Tai Tong Road,13
761P,1,YLL,600,元朗,Yuen Long,14
761P,2,YLL,600,元朗,Yuen Long,1
761P,2,TTR,590,大棠路,Tai Tong Road,2
761P,2,HLR,580,康樂路,Hong Lok Road,3
761P,2,FNR,570,豐年路,Fung Nin Road,4
761P,2,SPW,560,水邊圍,Shui Pin Wai,5
761P,2,PIS,400,屏山,Ping Shan,6
761P,2,TOF,390,塘坊村,Tong Fong Tsuen,7
761P,2,HMT,425,坑尾村,Hang Mei Tsuen,8
761P,2,TIY,445,天耀,Tin Yiu,9
761P,2,LOC,448,樂湖,Locwood,10
761P,2,TSU,460,天瑞,Tin Shui,11
761P,2,CHF,468,頌富,Chung Fu,12
761P,2,TFU,480,天富,Tin Fu,13
761P,2,TYA,550,天逸,Tin Yat,14
761P,2,TYA,550,天逸,Tin Yat,15
